alias,code,name,version,useInEditor,hero,item,sort,race,checkDep,levels,reqLevel,levelSkip,priority,targs1,Cast1,Dur1,HeroDur1,Cool1,Cost1,Area1,Rng1,DataA1,DataB1,DataC1,DataD1,DataE1,DataF1,DataG1,DataH1,DataI1,UnitID1,BuffID1,EfctID1,targs2,Cast2,Dur2,HeroDur2,Cool2,Cost2,Area2,Rng2,DataA2,DataB2,DataC2,DataD2,DataE2,DataF2,DataG2,DataH2,DataI2,UnitID2,BuffID2,EfctID2,targs3,Cast3,Dur3,HeroDur3,Cool3,Cost3,Area3,Rng3,DataA3,DataB3,DataC3,DataD3,DataE3,DataF3,DataG3,DataH3,DataI3,UnitID3,BuffID3,EfctID3,targs4,Cast4,Dur4,HeroDur4,Cool4,Cost4,Area4,Rng4,DataA4,DataB4,DataC4,DataD4,DataE4,DataF4,DataG4,DataH4,DataI4,UnitID4,BuffID4,EfctID4,InBeta
AOls,AUls,Rokhan - Voodoo Spirits,1,1,1,0,hero,orc,1,2,6,6,0,"air,ground,structure,neutral,enemy",0,30,30,180,150,800,-,20,0.2,7,0.75,20,-,-,-,-,uloc,,,"air,ground,structure,neutral,enemy",0,30,30,180,150,800,-,35,0.2,12,1,25,-,-,-,-,uloc,,,"air,ground,structure,neutral,enemy",0,30,30,180,150,800,-,20,0.2,7,1,20,-,-,-,-,uloc,,,"air,ground,structure,neutral,enemy",0,30,30,180,150,800,-,20,0.2,7,1,20,-,-,-,-,uloc,,,0
ANcf,ANbf,Chen - Breath of Fire,1,1,1,0,hero,creeps,1,4,1,0,0,"ground,air,structure",0,5,5,10,75,150,500,50,99999,500,250,7,-,-,-,-,,BNbf,,"ground,air,structure",-,5,5,10,75,150,700,100,99999,800,150,14,-,-,-,-,,BNbf,,"ground,air,structure",-,5,5,10,75,150,700,150,99999,800,150,21,-,-,-,-,,BNbf,,"ground,air,structure",-,5,5,10,75,150,700,225,99999,800,150,30,-,-,-,-,,BNbf,,0
Acdb,ANdb,Chen- Drunken Brawler,1,1,1,0,hero,creeps,1,4,1,0,0,_,0,0,0,0,0,-,-,10,2,0,0.07,-,-,-,-,-,,,,_,-,-,-,-,-,-,-,10,3,0,0.14,-,-,-,-,-,,,,_,-,-,-,-,-,-,-,10,4,0,0.21,-,-,-,-,-,,,,_,-,-,-,-,-,-,-,10,6,0,0.3,-,-,-,-,-,,,,1
Acdh,ANdh,Chen - Drunken Haze,1,1,1,0,hero,creeps,1,4,1,0,0,"air,ground,enemy,organic,neutral",0,12,5,12,75,200,550,0,0.45,0.5,0,-,-,-,-,-,,BNdh,,"air,ground,enemy,organic,neutral",0,12,5,12,75,200,550,0,0.65,0.5,0,-,-,-,-,-,,BNdh,,"air,ground,enemy,organic,neutral",0,12,5,12,75,200,550,0,0.8,0.5,0,-,-,-,-,-,,BNdh,,"air,ground,enemy,organic,neutral",0,12,5,12,75,200,550,0,0.95,0.5,0,-,-,-,-,-,,BNdh,,0
Acef,ANef,"Chen - Storm, Earth and Fire",1,1,1,0,hero,creeps,1,2,6,6,0,_,0,60,60,180,150,128,-,"npn1,npn2,npn3",-,-,-,-,-,-,-,-,,BNef,,_,0,60,60,180,150,128,-,"npn4,npn5,npn6",-,-,-,-,-,-,-,-,,BNef,,_,0,60,60,180,150,128,-,"npn1,npn2,npn3",-,-,-,-,-,-,-,-,,BNef,,_,0,60,60,180,150,128,-,"npn1,npn2,npn3",-,-,-,-,-,-,-,-,,BNef,,1
AOr2,AOae,Cairne - Endurance Aura,0,1,1,0,hero,orc,1,4,1,0,0,"air,ground,friend,self,vuln,invu",0,0,0,0,-,900,-,0.1,0.05,-,-,-,-,-,-,-,,BOae,,"air,ground,friend,self,vuln,invu",-,-,-,-,-,900,-,0.2,0.1,-,-,-,-,-,-,-,,BOae,,"air,ground,friend,self,vuln,invu",-,-,-,-,-,900,-,0.3,0.15,-,-,-,-,-,-,-,,BOae,,"air,ground,friend,self,vuln,invu",-,-,-,-,-,900,-,0.4,0.25,-,-,-,-,-,-,-,,BOae,,1
AOr3,AOre,Cairne - Reincarnation,0,1,1,0,hero,orc,1,2,6,6,0,_,3,0,0,240, - ,-,-,7,-,-,-,-,-,-,-,-,,,XOre,_,-,-,-,120, - ,-,-,2,-,-,-,-,-,-,-,-,,,XOre,_,-,-,-,240, - ,-,-,7,-,-,-,-,-,-,-,-,,,XOre,_,-,-,-,240, - ,-,-,7,-,-,-,-,-,-,-,-,,,XOre,1
AOs2,AOsh,Cairne - Shock Wave,0,1,1,0,hero,orc,1,4,1,0,0,"ground,structure",0,0,0,8,100,150,700,75,99999,800,150,-,-,-,-,-,,BOsh,,"ground,structure",-,-,-,8,100,150,700,130,9999,800,150,-,-,-,-,-,,BOsh,,"ground,structure",-,-,-,8,100,150,700,200,9999,800,150,-,-,-,-,-,,BOsh,,"ground,structure",-,-,-,8,100,150,700,300,9999,800,150,-,-,-,-,-,,BOsh,,1
AOw2,AOws,Cairne- War Stomp,0,1,1,0,hero,orc,1,4,1,0,0,"ground,organic",0,3,2,6,90,250,-,25,-,-,-,-,-,-,-,-,,BPSE,,"ground,organic",-,4,3,6,90,300,-,50,-,-,-,-,-,-,-,-,,BPSE,,"ground,organic",-,5,4,6,90,350,-,75,-,-,-,-,-,-,-,-,,BPSE,,"ground,organic",-,6,4.5,6,90,350,-,100,-,-,-,-,-,-,-,-,,BPSE,,1
ANcl,ANcl,Illidan - Channel,1,1,1,0,hero,creeps,1,3,1,0,0,_,0,0,0,0,0,-,500,180,0,0,0.98,1,channel,-,-,-,,,,_,0,0,0,0,0,-,500,180,0,0,0.98,1,-,-,-,-,,,,_,0,0,0,0,0,-,500,180,0,0,0.98,1,-,-,-,-,,,,_,0,0,0,0,0,-,500,180,0,0,0.98,1,-,-,-,-,,,,1
Aadm,Aadm,Abolish Magic,0,1,0,0,unit,nightelf,1,1,0,0,0,"air,ground,ward,invu,vuln,tree",0,0,0,0,50,-,500,0,300,1,-,-,-,-,-,-,,,,_,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,_,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,_,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,1
Andm,Aadm,Abolish Magic(naga),0,1,0,0,unit,naga,1,1,0,0,0,"air,ground,ward,invu,vuln,tree",0,0,0,0,50,-,500,0,300,1,-,-,-,-,-,-,,,,_,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,_,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,_,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,1
ACdm,Aadm,Abolish Magic (Creep),0,1,0,0,unit,creeps,0,1,0,0,0,"air,ground,ward,invu,vuln,tree",0,0,0,0,75,-,500,0,300,1,-,-,-,-,-,-,,,,_,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,_,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,_,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,1
ACd2,Aadm,"Abolish Magic (Creep, 1,2 pos)",0,1,0,0,unit,creeps,0,1,0,0,0,"air,ground,ward,invu,vuln,tree",0,0,0,0,75,-,500,0,300,1,-,-,-,-,-,-,,,,_,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,_,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,_,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,1
Aabs,Aabs,Absorb Mana,1,1,0,0,unit,undead,1,1,0,0,0,"player,vuln,invu",0,0,0,0,0,-,900,0,99999,-,-,-,-,-,-,-,,,,_,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,_,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,_,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,1
Aaha,Aaha,Acolyte Harvest,0,1,0,0,unit,undead,1,1,0,0,0,_,0,1,1,0,0,-,200,-,-,-,-,-,-,-,-,-,,,,_,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,_,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,_,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,1
ANav,AHav,Avatar(Garithos),1,1,1,0,hero,other,1,1,6,0,0,_,0,60,60,180,150,0.5,-,5,500,20,0,-,-,-,-,-,,,,_,-,60,60,180,150,0.5,-,5,500,20,0,-,-,-,-,-,,,,_,-,60,60,180,150,0.5,-,5,500,20,0,-,-,-,-,-,,,,_,-,60,60,180,150,0.5,-,5,500,20,0,-,-,-,-,-,,,,0
Aalr,Aalr,Alarm,0,0,0,0,unit,other,1,1,0,0,0,"air,ground,enemy,vuln,invu",0,3,3,0,0,-,800,-,-,-,-,-,-,-,-,-,,,,_,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,_,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,_,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,1
Aall,Aall,Allied Building,1,1,0,0,unit,other,1,1,0,0,0,_,0,0,0,0,0,-,350,600,1,1,1,-,-,-,-,-,,,,_,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,_,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,_,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,1
Aast,Aast,Ancestral Spirit,1,1,0,0,unit,orc,1,1,0,0,0,"ground,player,dead",0,0,0,30,250,-,350,1,0.25,-,-,-,-,-,-,-,,,,_,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,_,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,_,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,1
ACad,ACad,Animate Dead (creep),0,1,0,0,unit,creeps,0,1,0,0,0,"air,ground,dead",0,120,120,240,250,900,400,6,0,0,-,-,-,-,-,-,,BUan,,_,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,_,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,_,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,1
Aams,Aams,Anti-magic Shield,0,1,0,0,unit,undead,1,1,0,0,0,"air,ground,vuln,invu",0,90,90,0,50,-,500,0,0,0,0,-,-,-,-,-,,"Bams,Bam2",,_,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,_,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,_,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,1
Aam2,Aams,Anti-magic Shield (Matrix),0,1,0,0,unit,undead,1,1,0,0,0,"air,ground,vuln,invu,friend,self",0,90,90,0,75,-,500,0,0,300,0,-,-,-,-,-,,"Bams,Bam2",,_,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,_,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,_,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,1
ACam,Aams,Anti-magic Shield (creep),0,1,0,0,unit,creeps,0,1,0,0,0,"air,ground,vuln,invu",0,90,90,0,50,-,500,0,0,0,0,-,-,-,-,-,,"Bams,Bam2",,_,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,_,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,_,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,1
Aatk,Aatk,Attack,0,0,0,0,unit,other,1,0,0,0,0,_,0,0,0,0,0,-,-,-,-,-,-,-,-,-,-,-,,,,_,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,_,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,_,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,1
ACba,AHab,Aura - Brilliance (creep),0,1,0,0,unit,creeps,0,1,0,0,0,"air,ground,friend,self,vuln,invu",0,0,0,0,0,900,-,1,0,-,-,-,-,-,-,-,,BHab,,_,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,_,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,_,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,1
ACac,AOac,Aura - Command (Creep),0,1,0,0,unit,creeps,0,1,0,0,0,"air,ground,friend,self,vuln,invu",0,0,0,0,0,900,-,0.1,1,1,0,-,-,-,-,-,,BOac,,_,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,_,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,_,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,1
ACav,AHad,Aura - Devotion (Creep),0,1,0,0,unit,creeps,0,1,0,0,0,"air,ground,friend,self,vuln,invu",0,0,0,0,0,900,-,3,0,-,-,-,-,-,-,-,,BHad,,_,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,_,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,_,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,1
SCae,AOae,Aura - Endurance (Creep),0,1,0,0,unit,creeps,0,1,0,0,0,"air,ground,friend,self",0,0,0,0,0,900,-,0.1,0.05,-,-,-,-,-,-,-,,BOae,,_,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,_,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,_,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,1
Aap1,Aapl,Aura - Plague (Abomination),0,1,0,0,unit,undead,1,1,0,0,0,"ground,enemy,organic,neutral",0,0,0,0,0,176,-,120,1,10,-,-,-,-,-,-,uplg,Bapl,,_,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,_,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,_,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,1
Aap2,Aapl,Aura - Plague (Plague Ward),0,1,0,0,unit,undead,1,1,0,0,0,"ground,enemy,organic,neutral",0,0,0,0,0,250,-,120,1,-1,-,-,-,-,-,-,,"Bapl,Bplg",,_,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,_,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,_,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,1
Aap3,Aapl,Aura - Plague (Creep),0,1,0,0,unit,creeps,0,1,0,0,0,"ground,enemy,organic,neutral",0,0,0,0,0,250,-,120,1,10,-,-,-,-,-,-,uplg,"Bapl,Bplg",,_,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,_,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,_,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,1
Aap4,Aapl,Aura - Plague (Creep gfx),0,1,0,0,unit,creeps,0,1,0,0,0,"ground,enemy,organic,neutral",0,0,0,0,0,250,-,0,0,-1,-,-,-,-,-,-,,"Bapl,Bplg",,_,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,_,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,_,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,1
Aoar,Aoar,Aura - Regeneration (Ward),0,1,0,0,unit,orc,1,1,0,0,0,"ground,air,organic,vuln,invu,friend,neutral",0,0,0,0,0,500,-,0.02,1,-,-,-,-,-,-,-,,Boar,,_,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,_,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,_,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,1
Aabr,Aabr,Aura - Regeneration (Statue),0,1,0,0,unit,undead,1,1,0,0,0,"ground,air,organic,vuln,invu,friend,neutral",0,0,0,0,0,700,-,0.004,1,-,-,-,-,-,-,-,,Babr,,_,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,_,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,_,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,1
Aasl,Aasl,Aura - Slow,1,1,0,0,unit,naga,0,1,0,0,0,"air,ground,enemy,vuln,invu",0,0,0,0,0,600, - ,-0.6,0, - ,-,-,-,-,-,-,,Basl,,_, - , - , - , - , - , - , - ,-, - , - ,-,-,-,-,-,-,,,,_, - , - , - , - , - , - , - ,-, - , - ,-,-,-,-,-,-,,,,_, - , - , - , - , - , - , - ,-, - , - ,-,-,-,-,-,-,,,,1
ACat,AEar,Aura - Trueshot (Creep),0,1,0,0,unit,creeps,0,1,0,0,0,"air,ground,friend,self,vuln,invu",0,0,0,0,0,900,-,0.1,0,1,0,-,-,-,-,-,,BEar,,_,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,_,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,_,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,1
Aakb,Aakb,Aura - War Drums,0,1,0,0,unit,orc,1,1,0,0,0,"air,ground,friend,self,vuln,invu",0,0,0,0,0,900,-,0.1,1,1,0,-,-,-,-,-,,Bakb,,_,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,_,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,_,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,1
Aave,Aave,Avenger Form,1,1,0,0,unit,undead,1,1,0,0,0,_,1,1.1,0,0,0,-1,-,uobs,31,1,0,8,-,-,-,-,ubsp,,,_,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,_,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,_,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,1
Aawa,Aawa,Awaken,0,1,0,0,unit,other,1,1,0,0,0,_,0,0,0,0,0,-,-,-,-,-,-,-,-,-,-,-,,,,_,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,_,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,_,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,1
Abof,Abof,Balls of Fire,1,1,0,0,unit,orc,1,1,0,0,0,"ground,enemy,neutral,friend,structure,self",0,2.51,1.01,10,125,150,800,6,0.5,3,1,1,-,-,-,-,,Bbof,Xbof,_,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,_,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,_,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,1
ACbn,AHbn,Banish(Creep),1,1,0,0,hero,creeps,1,1,0,0,0,"air,ground,nonsapper,organic",0,24,6,10,50,-,800,0.5,0,-,-,-,-,-,-,-,,BHbn,,_,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,_,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,_,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,1
ACbh,AHbh,Bash (creep),0,1,0,0,unit,creeps,0,1,0,0,0,ground,0,2,2,0,0,0,-,15,0,25,0,0,-,-,-,-,,BPSE,,_,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,_,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,_,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,1
ANbh,AHbh,Bash (Beastmaster Bear),0,1,0,0,unit,creeps,0,1,0,0,0,ground,0,2,1,0,0,0,-,25,0,25,0,0,-,-,-,-,,BPSE,,_,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,_,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,_,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,1
ANb2,AHbh,"Bash (maul , SP Bear, level 3)",0,1,0,0,unit,creeps,0,1,0,0,0,ground,0,2,2,0,0,0,-,35,0,50,0,0,-,-,-,-,,BPSE,,_,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,_,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,_,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,1
Abtl,Abtl,Battlestations,0,1,0,0,unit,orc,0,1,0,0,0,"ground,player,vuln,invu",0,0,0,0,0,2000,-,,1,-,-,-,-,-,-,-,opeo,,,_,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,_,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,_,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,1
Sbtl,Abtl,Battlestations (Chaos),0,1,0,0,unit,orc,0,1,0,0,0,"ground,player,vuln,invu",0,0,0,0,0,2000,-,,1,-,-,-,-,-,-,-,ncpn,,,_,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,_,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,_,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,1
Abrf,Abrf,Bearform,0,1,0,0,unit,nightelf,1,1,0,0,0,_,0,1.45,0,0,25,-,-,edoc,1,0, - ,-,-,-,-,-,edcm,,,_, - , - , - , - , - , - , - , - , - , - , - ,-,-,-,-,-,,,,_, - , - , - , - , - , - , - , - , - , - , - ,-,-,-,-,-,,,,_, - , - , - , - , - , - , - , - , - , - , - ,-,-,-,-,-,,,,1
Absk,Absk,Beserk,1,1,0,0,unit,orc,1,1,0,0,0,_,0,12,12,30,0,-,-,0.2,0.5,0.5,-,-,-,-,-,-,,Bbsk,,_,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,_,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,_,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,1
Sbsk,Acha,Berserker Upgrade,1,1,0,0,unit,orc,1,1,0,0,0,_,0,0,0,0,0,-,-,-,-,-,-,-,-,-,-,-,otbk,,,_,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,_,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,_,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,1
ACbk,ANba,"Black Arrow (melee, creep)",1,1,0,0,unit,creeps,1,1,0,0,0,"air,ground,enemy,organic,neutral",0,2,2,2,6,-,600,2,1,80,-,-,-,-,-,-,ndr1,"BNba,BNdm",,_,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,_,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,_,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,1
Abds,Abli,Blight Dispel (Small),0,1,0,0,unit,other,1,1,0,0,0,_,0,0.08,0.08,0,0,768,-,64,0,-,-,-,-,-,-,-,,,,_,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,_,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,_,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,1
Abdl,Abli,Blight Dispel (Large),0,1,0,0,unit,other,1,1,0,0,0,_,0,0.08,0.08,0,0,960,-,64,0,-,-,-,-,-,-,-,,,,_,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,_,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,_,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,1
Abgs,Abli,Blight Growth (Small),0,1,0,0,unit,undead,1,1,0,0,0,_,0,0.08,0.08,0,0,768,-,64,1,-,-,-,-,-,-,-,,,,_,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,_,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,_,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,1
Abgl,Abli,Blight Growth (Large),0,1,0,0,unit,undead,1,1,0,0,0,_,0,0.08,0.08,0,0,960,-,64,1,-,-,-,-,-,-,-,,,,_,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,_,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,_,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,1
Abgm,Abgm,Blighted Gold mine,0,1,0,0,unit,undead,1,1,0,0,0,_,0,0,0,0,0,-,-,10,1,5,200,-,-,-,-,-,,,,_, - , - , - , - , - , - , - , - , - , - , - ,-,-,-,-,-,,,,_, - , - , - , - , - , - , - , - , - , - , - ,-,-,-,-,-,,,,_, - , - , - , - , - , - , - , - , - , - , - ,-,-,-,-,-,,,,1
ANbl,AEbl,Blink(Beastmaster Bear),1,1,1,0,hero,nightelf,1,3,1,0,0,_,0,0.33,0,15,0,-,99999,1050,150,-,-,-,-,-,-,-,,,,_,-,0.33,-,10,10,-,99999,1075,200,-,-,-,-,-,-,-,,,,_,-,0.33,-,1,10,-,99999,1150,200,-,-,-,-,-,-,-,,,,_,-,0.33,-,1,10,-,99999,1150,200,-,-,-,-,-,-,-,,,,1
ACbz,AHbz,Blizzard (creep),0,1,0,0,unit,creeps,0,1,0,0,0,_,1,0,0,12,125,200,800,6,15,6,0.5,0,-,-,-,-,,"BHbd,BHbz",XHbz,_,-, - , - ,-,-, - , - , - , - , - , - ,-,-,-,-,-,,,,_, - , - , - , - , - , - , - , - , - , - , - ,-,-,-,-,-,,,,_, - , - , - , - , - , - , - , - , - , - , - ,-,-,-,-,-,,,,1
Ablo,Ablo,Bloodlust,0,1,0,0,unit,orc,1,1,0,0,11,"air,ground,friend,organic,self,neutral",0,60,60,1,40,-,600,0.4,0.25,0.3, - ,-,-,-,-,-,,Bblo,,_, - , - , - , - , - , - , - , - , - , - , - ,-,-,-,-,-,,,,_, - , - , - , - , - , - , - , - , - , - , - ,-,-,-,-,-,,,,_, - , - , - , - , - , - , - , - , - , - , - ,-,-,-,-,-,,,,1
ACbl,Ablo,Bloodlust (Creep),0,1,0,0,unit,creeps,0,1,0,0,11,"air,ground,friend,organic,self,neutral",0,40,40,8,75,-,600,0.4,0.25,0.3, - ,-,-,-,-,-,,Bblo,,_, - , - , - , - , - , - , - , - , - , - , - ,-,-,-,-,-,,,,_, - , - , - , - , - , - , - , - , - , - , - ,-,-,-,-,-,,,,_, - , - , - , - , - , - , - , - , - , - , - ,-,-,-,-,-,,,,1
ACbb,Ablo,"Bloodlust (creep, Hotkey B)",0,1,0,0,unit,creeps,0,1,0,0,11,"air,ground,friend,organic,self,neutral",0,40,40,8,50,-,600,0.4,0.25,0.3, - ,-,-,-,-,-,,Bblo,,_, - , - , - , - , - , - , - , - , - , - , - ,-,-,-,-,-,,,,_, - , - , - , - , - , - , - , - , - , - , - ,-,-,-,-,-,,,,_, - , - , - , - , - , - , - , - , - , - , - ,-,-,-,-,-,,,,1
ACbc,ANbf,Breath of Fire(Creep),1,1,0,0,unit,creeps,1,1,0,0,0,"ground,air",0,5,5,10,125,150,700,150,99999,800,150,21,-,-,-,-,,BNbf,,_,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,_,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,_,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,1
